,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Cotton, Feed, Farm & Home, Vegetable Plants, Herbs & Flowers,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Gardening Supplies, Clothing,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Garden Supplies, Plants,,,,,,,,,,,,,,,,,,,,,,,
Feed, Farm and Home, Garden Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Products,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Garden Supplies, Animal Health, Farm Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Cottonseed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton Ginning and Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livestock Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Seed, Chemicals, Feed, Petroleum, Tires, Hardware, Garden Center,,,,,,,,,,,,,,,,,,,,,
Wheat, Durum, Barley, Soybeans, Corn, Sunflowers, Canola, Flax, Oats, Chemicals, Fertilizer, Seed, Anhydrous Ammonia, Feed, Petroleum,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Agronomy Services,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn for Processing to Captive Wet Mill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Barley, Soybeans, Sunflowers, Edible Beans, Feed, Seed,,,,,,,,,,,,,,,,,,,,,
Petroleum Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Seed, Fertilizer, Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Fertilzer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Durum, Corn, Barley, Oats, Flax, Sunflowers, Canola, Petroleum, Feed, Fertilizer, Agricultural Chemicals, Tires, Fertilizer and Chemical Application, Propane, Consulting Services,,,,,,,,,,,,,
Grain, Agricultural Crop Inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain Elevator, Agronomy, Energy, C-Stores,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Seed, Chemical, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Sugar, Sugar Beet Pulp, Molasses,,,,,,,,,,,,,,,,,,,,,,,,,,
NH3, Fertilizer, Seed, Chemicals, Gas, Diesel, LP, Hardware, Oil, Lumber, Tires, Tubes, Batteries, Full Service Shop, Custom Spraying, Fertilizer Application, Convenience Store,,,,,,,,,,,,
Bison,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grains,Seed, Fertilzer, Chemicals, Energy Products, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Seed, Fertilizer, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,
 Grain, Feed, Seed, Fertilizer, Agricultural Chemicals,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Convenience Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Chemicals, Convenience Store Items, Fuel Products,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Fertilizer, Chemicals, Tires, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Durum, Barley, Feed Processing,Groceries, Lumber, Hardware, Ag Chemicals, Fertilizer, Application Services, Tires, Oil, Truck and Tractor Repair Services,,,,,,,,,,,,,,,,
Petroleum, Farm Products, Repair, Fuel, Oil, Gasoline,,,,,,,,,,,,,,,,,,,,,,,
Grain, Fertilizer, Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,,
Gasoline, Diesel, Seed, Fertilizer, Chemicals, Convenience Store, Propane,,,,,,,,,,,,,,,,,,,,,,
8790 Gas w/Ethanol, Premium Gas, Premium Diesel, #2 Diesel, Propane Botle fill & RV Campers, Bulk Fuel & Propane,,,,,,,,,,,,,,,,,,,,,,,
Grains, Feed, Seed, Fertilizer, Chemicals, Petroleum, and Other supplies,,,,,,,,,,,,,,,,,,,,,,
Grains, beans, feed, fertilizer, petroleum, etc.,,,,,,,,,,,,,,,,,,,,,,,
Grain, Seed, Fertilizer, Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Tires, Hardware Hank Retail, Refined Fuel, Propane,,,,,,,,,,,,,,,,,,,,,,,,,
Lumber, Building Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Grains, Feed,Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,
Grains, Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Farm Supplies,,,,,,,,,,,,,,,,,,,,,,
Grain and Farm Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Milo, Oats, Feed, Petroleum, Fertilizer, Crop Protection, Seed, Propane, Tires, Batteries, and Accessories,,,,,,,,,,,,,,,
Grain, Rice, Soybeans, Wheat, Corn, and Milo,,,,,,,,,,,,,,,,,,,,,,,
Chemicals, Tires, Batteries, Fertilizer, Gasoline, Diesel, Oil, Grain,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Agricultural Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Milo, Soybeans, Fertiizer, Chemicals, Tires,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Millet, Sunflowers, Rye,,,,,,,,,,,,,,,,,,,,,,,,
Seed, Fertilizer, Agricultural Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Rice, Soybeans, Wheat, Corn, and Milo,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Petroleum Products, Feed, Fertilizer, Ag Chemicals, Tires, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Oats, Feed, Fertilizer, Ag Chemicals, Feed Manufacturing, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,
Wheat, Corn, Soybeans, Oats, Feed, Seed, Petroleum, Fertilizer, Chemicals,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Agronomy, Corn, Wheat, Oats, Fertilizer, Agricultural Chemicals, Feed Manufacturing, Fertilizer Application, Barley, Livestock Equipment, Animal Health,,,,,,,,,,,,,,,,
Corn, Wheat, Milo,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Petroleum, Feed, Fertilizer, Agricultural Chemicals, Tires, Manufacturing, Fertilizer Application, Trucking,,,,,,,,,,,,,,,,,,,
Corn, Beans, Feed, Fertilizer, Ag Chemicals, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,,
Grains, Feed, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel, Gas, Tires, Merchandise, Tubes, Oil, Service,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Oats, Petroleum, Convenience Store,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Agronomy, Fuel,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Milo, Soybeans, Oats, Petroleum, Feed, Fertilizer, Agricultural Chemicals, Feed Manufacturing, Fertilizer Application, Trucking,,,,,,,,,,,,,,,,,
Fuel, Fertilizer, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Chemicals, Fuels, Seed, Fertilizer Application, Tires, Oil,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,
Cattle and Hogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Other Farm Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Fuels, LP Gas, Tires, Application,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Petroleum, Tires, Batteries,,,,,,,,,,,,,,,,,,,,,,
Fresh-Caught Seafood,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seafood, Condiments,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Whole Fish and Scallops,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberries, Peaches, Nectarines, Cranberries,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Fruits, Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livestock Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruits and Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produce, Nursery Items,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lettuce, Tomatoes, Fresh Fruits, Peppers, Asparagus,,,,,,,,,,,,,,,,,,,,,,,,
Cottonseed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Fruits, Vegetables, Greenhouse Products, Cut Flowers, Honey, Fish,,,,,,,,,,,,,,,,,,,,,,,
Bargaining Raw Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Peppers, Squash, Eggplant, Cabbage, Grape Tomato, Cucumbers, Soils, Boxes, Field Plastic and Fertilizer,,,,,,,,,,,,,,,,,,,
Apples,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruit Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk, Farm Supplies, Feed, Clothes, Shoes ,,,,,,,,,,,,,,,,,,,,,,,,
Bulk Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apples,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Milk and Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local produce, honey, maple products,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk Maple Syrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livestock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wool,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Seed, Hardware, Lawn & Garden Supplies, Wood Pellets, Farmers Market,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Services to Agricultural Organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Packaged Fluid Milk, Cultured Dairy Products, Raw Milk, Flavored Milks/Single Serve, Frozen Dessert Mixes,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Farm Supplies,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concord Grapes Marketed in New York and Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Oats, Petroleum, Feed, Fertilizer, Ag Chemicals, Crop Insurance, Custom Application, Consulting Services, Farm Equipment, Sommer Bird Feed,,,,,,,,,,,,,,,,
Beef and Dairy Bull Semen, Artificial Insemination Supplies and Services,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,
All Grains, Feed, Fertilizer, Chemicals, Seed, Services,,,,,,,,,,,,,,,,,,,,,,,
Grain  (Wheat, Corn, Soybeans), Fertilizer, Ag Chemicals, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,,
Produce,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apples, Peaches, Pumpkins, Cider,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,
Speciality products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Eggs, Cheese, Produce, Milk,,,,,,,,,,,,,,,,,,,,,,,
Farm Markets, Fruits & Vegetables, Turf, Fertilizer, Agricultural Chemicals,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Petroleum, Feed, Chemicals, Tires, Farm Supply, Feeds, Fertilizer ,,,,,,,,,,,,,,,,,,,
Corn, Oats, Wheat, Soybeans, Petroleum, Ag Chemicals,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Feed, Fertilizer, Ag Chemicals, Feed, Seeds, Trucking,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Fertilizer, Seed, Liquid Fertilizer, Chemicals, Pet Supplies, Pet Feed, Feed, General Farm Supplies, Propane, Gas, Diesel, Oil, Anhydrous, Softener Salt, Bird Feed, Fertilizer Application, Consulting,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Beans, Feed Manufacturing, Fertilizer, Ag Chemicals, Fertilizer Application, Petroleum,,,,,,,,,,,,,,,,,,,,,
Grain, Agronomy, Petroleum, Propane, Feed, Animal Health, Seed and General Farm Supplies,,,,,,,,,,,,,,,,,,,,,,
Wool,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Custom Application, Tire Service, Corn, Wheat, Soybeans, Oats, Petroleum, Fertilizer, Agricultural Chemicals, Fertilizer Application, Hardware, and Rental,,,,,,,,,,,,,,,,
Grain, Seed, Fertilizer, Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain Handling, Corn, Wheat, Soybeans, Petroleum, Fertilizer, Ag Chemicals, Application,,,,,,,,,,,,,,,,,,,,,
Dairy and Beef Semen, Reproductive and Herd Management Products and Services, Microbial Nutritional Supplements, Udder Products,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Cattle, Hogs, Sheep,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fuel, Fertilizer, Seed, Agronomic Chemicals, Custom Application,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Farm Supplies, Feed, Fertilizer, Fuels,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Fertilizer, Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Chemicals, Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Milo, Corn, Fertilizer, Bagged Feed, Bulk Feed, Fuel, Fertilizer Application, Tires, Truck Tires, Oil and Grease, Vet Supplies, Chemicals, Bulk Fuel Delivery,,,,,,,,,,,,,,,
Feed, Farm Supplies, Fertilizer, Ag Chemicals, Animal Health, Products, Pet Supplies & Feed, Birdseed, Bird House/Feeders, Garden Supplies, Seed & Plants, Petroleum, Fencing Supplies,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Crop Protectants, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,
Wheata, Milo, Cotton, Cottonseed, Seed, Fertilizer, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,
Grains, Feed,Seed, Fertilzer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Grain, Fertilizer, Chemicals, Fuel, Feed, Hardware, Tires, Application,,,,,,,,,,,,,,,,,,,,,
Fuel, Fertilizer, Feed, Wheat, Oils, Chemicals, Seed, Farm Store,,,,,,,,,,,,,,,,,,,,,
Cotton, cottonseed, farm supplies,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Fertilizer, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Rice, Soybeans, Wheat, Corn, and Milo,,,,,,,,,,,,,,,,,,,,,,,
Grain, cotton, cottonseed, feed, seed, fertilizer, crop protectants,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertlizer, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,
Grains, Feed, Fertilizer, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Tires,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed, Feed, Fertilizer, Ag Chemicals, Tires, Fuel,,,,,,,,,,,,,,,,,,,,,,,
Cattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Cottonseed, Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Farm Supplies,,,,,,,,,,,,,,,,,,,,,
Cottonseed Oil, Meal, Linters, Sunflower Oil, Canola Oil, Canola Meal,,,,,,,,,,,,,,,,,,,,,,,
Corn, Oats, Feed, Fertilizer, Tires, Feed Manufacturing, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,
Wheat, Fuel, Feed, Fertilizer, Chemicals,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Fuel, Cottonseed and Grains,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,
Case-IH Dealer, Used Equipment, Parts and Service, Hardware, Fertilizer, Agricultural Chemicals, Petroleum Products,,,,,,,,,,,,,,,,,,,,,,
Fresh Cherries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural Beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Fruit (Mainly Pears & Cherries),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Feed, Fencing, Irrigation, Plumbing, Pump Repair, Clothing, Livestock Supplies,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Agricultural Chemicals, Fuel, Oils,,,,,,,,,,,,,,,,,,,,,,,,,
Pet Food and Supplies, Lawn and Garden, Clothing, Farm and Ranch, Petroleum, Ag Chemicals,,,,,,,,,,,,,,,,,,,,,,,
Hazelnuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Fertilizer, Hardware,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Barley, Petroleum, Seed, Farm Supply,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Farm Equipment, Fertilizer, Chemicals, Bulk Petroleum, Propane, Farm Supplies,,,,,,,,,,,,,,,,,,,,,,
Sugar beet promotion, information and advice,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grass Seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest related products, firewood, boughs, essential oils, truffles and gifts manufactured from our wood products,,,,,,,,,,,,,,,,,,,,,,,,
Grain, feed, seed, fertilizer, chemicals, petroleum,,,,,,,,,,,,,,,,,,,,,,,
Mushrooms, Bean Sprouts, Pearl Onion, Red Raspberries, Blackberries, Marion Berries, Boysenberries, Blueberries,,,,,,,,,,,,,,,,,,,,,
Cheese, Ice Cream, Other Dairy Products,,,,,,,,,,,,,,,,,,,,,,,,,,
Fueling Stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Machinery, Feed Manufacturing, Fertilizer and Application, Ag Chemicals, Seed, Fencing, Ag Hardware,,,,,,,,,,,,,,,,,,,,,
Hazelnuts, Feed, Fertilizer, Chemicals, Fuel, Seed, and Farm Stores,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Agricultural Chemicals, Feed Manufacture,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Certified OG Produce, Meat, Dairy, Eggs,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep/Lambs, Meat Goats, Sheep Supplies, Wool,,,,,,,,,,,,,,,,,,,,,,,,,
Raw Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potatoes and Bag Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frozen Bovine Semen and Animal Health Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw Wool,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Fertilizer, Agricultural Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Oats, Feed, Seed, Fertilizer, Chemicals, Petroleum, Tires, Propane,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Fertilizer, Ag Chemicals, Tires, Fertilizer and Chemical Application, Consulting Service,,,,,,,,,,,,,,,,,,,,,,
Grain, Agronomy, Services,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,
Diesel, Gasoline, Tires, Tubes, Oil, Feed, Fertilizer,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Fuel, Agronomy, Feed, Grain, Livestock, Retail,,,,,,,,,,,,,,,,,,,,,,,
Animal Feed and Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farm Fuel, Over the Road Diesel, Gas, E85, Oil & Filters, Hose & Chain, LP Gas, Convenience Store with Deli,,,,,,,,,,,,,,,,,,,,,
Grains, Feed, Seed, Fertilizer, Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Fertilizer, Agricultural Chemicals, Tires, Application, Consulting Services,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Corn, Oats, Tires and Tubes, Seed,,,,,,,,,,,,,,,,,,,,,,,
Petroleum Products, Propane, Fertilizer, Agricultural Chemical, Fertilizer Application, Tires, Farm Financing, Consulting Services,,,,,,,,,,,,,,,,,,,,,
Propane, Repairs, Small Appliances,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel, Gas, Propane, Tires, Oil, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Feed, Chemical and Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Oats, Feed, Fertilizer, Agricultural Chemicals, Feed Manufacturing, Fertilizer Application,,,,,,,,,,,,,,,,,,,,
Grains, Feed,  Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Fertilixer,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soy Beans, Oats, Sunflowers, Petroleum, Fees, Chemicals, Tires,,,,,,,,,,,,,,,,,,,,,
Petroleum, Seed, Fertilizer, Custom Application, Crop Protection, Convenience Store, Shop,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Fertilizer, Agricultural Chemicals, Tires, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farm and Home Products, LP, Petroleum Products, Grease, Oil, C-Store, Gasoline, Diesel, Auto Parts, Service, Repair,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Fertilizer Application, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardware, Paint, Fencing, Lumber,,,,,,,,,,,,,,,,,,,,,,,,,
Grains, Feed, Seed, Fertilizer, Crop Protectants, Energy Products, Other Supplies,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,
Grains, Feed, Seed, Fertilizer, Chemicals, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Fertilizer, LP Gas, Tires, Chemicals,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Oats, Sunflowers, Feed, Seed, Fertilizer and Application, Feed Manufacturing, Delivery,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Oats, Spring Wheat, Winter Wheat, Wensman Seed, NK Seed, Mustang Seed, Chemicals, Fertilizer, Feed ,,,,,,,,,,,,,,,,,,
Grain (corn, soybeans, wheat), farm supplies (feed, seed, fertilizer, petroleum, chemicals, and lumber),,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Oats, Feed,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum Products ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Corn, Oats, Chemicals, Fertilizer, Seed, Feed, Veterinarian Supplies,,,,,,,,,,,,,,,,,,,,,
Lumber, Sheet Goods, Shingles, Fencing, Millwork, Steel Sheeting, Metal Trims, Builders Hardware, Paint, Cement Block, Brick, Sheetrock, Insulation,,,,,,,,,,,,,,,,
Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Beans, Wheat, Oats, Agricultural Chemicals, Fertilizer Application, Feed,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Petroleum,Other Supplies,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Petroleum, Agricultural Chemicals,,,,,,,,,,,,,,,,,,,,,,,,
